都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
152188,3000200118,新潟県,五泉市,鈴木歯科医院,スズキシカイイン,五泉市村松甲2583-1,,37.694354,139.18454,診察室,0250-58-2822,,,,月火水木金土,09:00,18:00,土曜日の午後、日曜日、祝日利用不可。,,,
152188,3000200119,新潟県,五泉市,すもと学童クラブ（一本杉公会堂）,スモトガクドウクラブ（イッポンスギコウカイドウ）,五泉市一本杉2341-1,,37.75687,139.196999,和室,,,,,月火水木金土日,13:00,18:30,学校休業日は7:30から利用可。,,,
152188,3000200120,新潟県,五泉市,センコー㈱五泉出張所,センコー（カブ）ゴセンシュッチョウジョ,五泉市土深645-2,,37.743098,139.15954,事務所入口,0250-43-5247,,,,月火水木金土日,,,業務時間内利用可。,,,
152188,3000200121,新潟県,五泉市,㈱大光銀行五泉支店,（カブ）タイコウギンコウゴセンシテン,五泉市駅前1丁目10-13,,37.73642,139.177806,１階ロビー,0250-43-3944,,,,月火水木金,09:00,15:00,,,,
152188,3000200122,新潟県,五泉市,ダイナム五泉店,ダイナムゴセンテン,五泉市太田971-1,,37.743451,139.186156,ホール内（自動販売機内臓）,0250-48-5569,,,,月火水木金土日,09:00,23:00,,,,
152188,3000200123,新潟県,五泉市,たいまつ食品㈱本社工場,タイマツショクヒン（カブ）ホンシャコウジョウ,五泉市村松1345,,37.699335,139.177802,工場入口,0250-58-6135,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200124,新潟県,五泉市,㈱太陽松食品青橋工場,（カブ）タイヨウマツショクヒンアオハシコウジョウ,五泉市村松工業団地1丁目3-1,,37.678658,139.157308,１階エントランス,0250-58-8222,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200125,新潟県,五泉市,たかうち医院,タカウチイイン,五泉市赤海2丁目6-2,,37.735147,139.193724,１階待合室,0250-43-6222,,,,月火水木金土,09:00,18:00,木曜日、土曜日の午後と祝日終日利用不可。,,,
152188,3000200126,新潟県,五泉市,たけだ内科クリニック,タケダナイカクリニック,五泉市村松1288-1,,37.698778,139.177347,診察室,0250-58-2113,,,,月火水木金土,08:05,18:00,火曜日の午後、第2第4土曜日、日曜日、祝日は利用不可。,,,
152188,3000200127,新潟県,五泉市,ディーズクラブ五泉店,ディーズクラブゴセンテン,五泉市太田2272-1,,37.74894,139.183116,ホール中央,0250-43-8777,,,,月火水木金土日,09:00,22:50,,,,
152188,3000200128,新潟県,五泉市,デンカ㈱五泉事業所鏡田工場,デンカ（カブ）ゴセンジギョウショカガミダコウジョウ,五泉市木越字鏡田1359-1,,37.715678,139.176512,１階警備室,0250-43-4111,,,,月火水木金,08:30,17:15,,,,
152188,3000200129,新潟県,五泉市,デンカ㈱五泉事業所新潟工場,デンカ（カブ）ゴセンジギョウショニイガタコウジョウ,五泉市南本町1丁目2-2,,37.734964,139.176115,２階事務室,0250-43-4111,,,,月火水木金,08:30,17:15,,,,
152188,3000200130,新潟県,五泉市,特別養護老人ホーム　うずらはし,トクベツヨウゴロウジンホームウズラハシ,五泉市橋田丙515-2,,37.728775,139.135832,在宅事務室,0250-48-5577,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200131,新潟県,五泉市,特別養護老人ホーム　帛の郷,トクベツヨウゴロウジンホームキヌノサト,五泉市本町6丁目7-7,,37.745732,139.177222,医務室,0250-47-4300,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200132,新潟県,五泉市,特別養護老人ホーム　山王苑,トクベツヨウゴロウジンホームサンノウエン,五泉市村松203-1,,37.68641,139.166974,１階正面玄関エントランス,0250-58-8989,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200133,新潟県,五泉市,特別養護老人ホーム　菅名の里,トクベツヨウゴロウジンホームスガナノサト,五泉市馬下1814-19,,37.736732,139.270039,１階正面玄関前,0250-47-1080,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200134,新潟県,五泉市,特別養護老人ホーム　すもとの里,トクベツヨウゴロウジンホームスモトノサト,五泉市論瀬5975-12,,37.746979,139.204188,１階事務室前,0250-43-5107,,,,月火水木金土日,08:30,17:30,,,,
152188,3000200135,新潟県,五泉市,特別養護老人ホーム　まおろしの郷,トクベツヨウゴロウジンホームマオロシノサト,五泉市馬下1429,,37.735724,139.259892,１階サービスステーション,0250-47-1070,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200136,新潟県,五泉市,特別養護老人ホーム　結の里,トクベツヨウゴロウジンホームユイノサト,五泉市五十嵐新田855-1,,37.734892,139.196601,事務室,0250-42-6000,,,,月火水木金土日,,,業務時間内利用可。,,,
152188,3000200137,新潟県,五泉市,戸倉コミュニティ会館,トグラコミュニティカイカン,五泉市上戸倉1640,,37.636797,139.16519,和室,0250-58-2939,,,,月火水木金土日,,,施設利用時利用可。,,,
152188,3000200138,新潟県,五泉市,中谷医院,ナカタニイイン,五泉市太田2丁目6-39,,37.742456,139.189348,処置室,0250-47-7741,,,,月火木金土,08:30,17:45,土曜日の午後、水曜日、日曜日、祝日利用不可。,,,
152188,3000200139,新潟県,五泉市,新潟運輸㈱五泉支店,ニイガタウンユ（カブ）ゴセンシテン,五泉市木越1749,,37.720107,139.176686,１階事務所内,0250-43-3164,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200140,新潟県,五泉市,新潟県早出川ダム,ニイガタケンハヤデガワダム,五泉市小面谷字飛石2982,,37.643715,139.29411,２階事務室,0250-55-6304,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200141,新潟県,五泉市,新潟県立五泉特別支援学校,ニイガタケンリツゴセントクベツシエンガッコウ,五泉市尻上173,,37.719874,139.141041,職員玄関前,0250-43-4370,,,,月火水木金,08:30,17:15,,,,
152188,3000200142,新潟県,五泉市,新潟県労働金庫五泉支店,ニイガタケンロウドウキンコゴセンシテン,五泉市東本町2丁目9-2,,37.742556,139.181355,1階ホール,0250-42-1113,,,,月火水木金,09:00,15:00,,,,
152188,3000200143,新潟県,五泉市,日本シイエムケイ㈱蒲原工場,ニホンシイエムケイ（カブ）カンバラコウジョウ,五泉市村松工業団地1丁目2-5,,37.68081,139.161084,守衛所、５階事務室,0250-58-8737,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200144,新潟県,五泉市,はあとふるあたごグループホーム五泉,ハアトフルアタゴグループホームゴセン,五泉市太田2丁目1-3,,37.742115,139.185195,玄関,0250-41-1610,,,,月火水木土日,,,24時間利用可。,,,
152188,3000200145,新潟県,五泉市,はばたき信用組合　五泉支店,ハバタキシンヨウクミアイゴセンシテン,五泉市吉沢2丁目1-30,,37.737246,139.180399,１階ロビー,0250-43-2211,,,,月火水木金,09:00,15:00,,,,
152188,3000200146,新潟県,五泉市,㈱原信五泉店,（カブ）ハラシンゴセンテン,五泉市太田1142-1,,37.743371,139.183964,レジ後方サービスカウンター,0250-42-0152,,,,月火水木金土日,08:00,23:59,,,,
152188,3000200147,新潟県,五泉市,ＨＡＬＵリハビリデイ,ハルリハビリデイ,五泉市五十嵐新田846-1,,37.734576,139.195601,１階待合室,0250-47-8829,,,,月火水木金土,08:00,17:00,,,,
152188,3000200148,新潟県,五泉市,ファミリードラッグ五泉店,ファミリードラッグゴセンテン,五泉市太田新田925,,37.744199,139.188069,３番レジ前,0250-43-8585,,,,月火水木金土日,10:00,21:00,,,,
152188,3000200149,新潟県,五泉市,ふなおか学園更生園,フナオカガクエンコウセイエン,五泉市尻上118,,37.719948,139.140341,１階医務室,0250-42-0833,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200150,新潟県,五泉市,㈱ブルボン五泉工場,ブルボンゴセンコウジョウ,五泉市下条1387,,37.766593,139.154887,１階事務室,0250-41-1515,,,,月火水木金,08:00,17:00,,,,
152188,3000200151,新潟県,五泉市,放課後等デイサービス　ピオニ～,ホウカゴトウデイサービスピオニー,五泉市赤海3827-1,,37.734654,139.195141,１階事務室,0250-47-3322,,,,月火水木金土,09:30,18:15,日曜と祝日、8/13から8/15、12/29から1/3、終日利用不可,,,
152188,3000200152,新潟県,五泉市,㈱ホクエツ信越新潟工場,（カブ）ホクエツシンエツニイガタコウジョウ,五泉市村松工業団地3丁目1-1,,37.675601,139.159232,事務所,0250-58-2351,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200153,新潟県,五泉市,ほそかわ鍼灸院接骨院,ホソカワシンキュウインセッコツイン,五泉市旭町6-54,,37.745919,139.181044,施術室,0250-43-7313,,,,月火水木金土,09:00,19:00,水曜日、土曜日の午後と祝日終日利用不可。,,,
152188,3000200154,新潟県,五泉市,堀内皮膚科医院,ホリウチヒフカイイン,五泉市本町5丁目1-7,,37.743987,139.175837,診察室,0250-43-5775,,,,月火水金土,09:00,17:30,土曜日午後利用不可。,,,
152188,3000200155,新潟県,五泉市,馬下保養センター,マオロシホヨウセンター,五泉市馬下1816,,37.73741,139.270519,１階事務室,0250-47-1030,,,,月火水木金土日,,,24時間利用可。毎月第4水曜日休館日のため利用不可。,,,
152188,3000200156,新潟県,五泉市,まごころデイサービス　おぎそね,マゴコロデイサービスオギソネ,五泉市荻曽根227,,37.742278,139.165516,１階ホール,0250-25-7253,,,,月火水木金土日,07:30,19:30,,,,
152188,3000200157,新潟県,五泉市,まちの駅　は～とふる五泉館,マチノエキハートフルゴセンカン,五泉市本町2丁目3-35,,37.739857,139.175907,玄関ロビー,0250-47-4348,,,,,,,開所時間内利用可。,,,
152188,3000200158,新潟県,五泉市,ミズホ㈱　五泉工場,ミズホ（カブ）ゴセンコウジョウ,五泉市赤海3631-14,,37.739615,139.194629,製造棟入口脇,0250-43-5401,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200159,新潟県,五泉市,みどり多機能ホーム,ミドリタキノウホーム,五泉市村松甲5592-1,,37.687091,139.181178,玄関,0250-58-6400,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200160,新潟県,五泉市,㈲みやけ食品名水工場,（ユウ）ミヤケショクヒンメイスイコウジョウ,五泉市中川新478-1,,37.723711,139.231973,１階事務室,0250-41-2233,,,,月火水木金土日,,,業務時間内利用可。,,,
152188,3000200161,新潟県,五泉市,宮の森デイサービスセンター五泉,ミヤノモリデイサービスセンターゴセン,五泉市本町4丁目3-12,,37.743203,139.175698,１階相談室内,0250-47-8772,,,,月火水木金土,08:00,17:30,,,,
152188,3000200162,新潟県,五泉市,ミライe〈みらいえ〉越後天然ガス㈱五泉営業所,ミライエエチゴテンネンガス（カブ）ゴセンエイギョウショ,五泉市吉沢2丁目1-27,,37.737,139.180309,１階エントランス,0250-43-6651,,,,月火水木金,09:00,17:00,,,,
152188,3000200163,新潟県,五泉市,みらい　ぼたん薬局,ミライボタンヤッキョク,五泉市太田2丁目6-44,,37.742688,139.18931,１階ロビー,0250-25-7805,,,,月火木金土,08:45,18:15,土曜日の午後、水曜日、日曜日、祝日利用不可。,,,
152188,3000200164,新潟県,五泉市,村松観光開発会館,ムラマツカンコウカイハツカイカン,五泉市愛宕甲2929-1,,37.69311,139.189671,１階事務室,0250-58-5130,,,,月火木金土日,09:00,18:00,12月から3月の木曜日、12/30から1/4利用不可。,,,
152188,3000200165,新潟県,五泉市,村松公園事務室,ムラマツコウエンジムシツ,五泉市愛宕甲2631-1,,37.692355,139.188538,事務室,0250-58-2147,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200166,新潟県,五泉市,村松高等学校,ムラマツコウトウガッコウ,五泉市村松甲5545,,37.687491,139.181679,職員玄関前廊下,0250-58-6003,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200167,新潟県,五泉市,村松公民館,ムラマツコウミンカン,五泉市村松乙130-1,,37.693437,139.174244,１階事務室,0250-58-5082,,,,月火水木金土日,08:30,22:00,,,,
152188,3000200168,新潟県,五泉市,村松さくらこども園,ムラマツサクラコドモエン,五泉市村松甲6288,,37.683926,139.175643,事務室前廊下,0250-58-2401,,,,月火水木金土,07:15,19:15,,,,
152188,3000200169,新潟県,五泉市,村松浄水場,ムラマツジョウスイジョウ,五泉市矢津2206-2,,37.694432,139.20825,宿直室前,0250-58-1661,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200170,新潟県,五泉市,村松野球場,ムラマツヤキュウジョウ,五泉市愛宕甲2660,,37.691494,139.19138,野球場隣接男子トイレ脇,,,,,,,,24時間利用可。12/1から3/31利用不可。,,,
152188,3000200171,新潟県,五泉市,やまむら整形外科,ヤマムラセイケイゲカ,五泉市太田2丁目2-14,,37.74255,139.185699,１階処置室,0250-41-0555,,,,月火水金土,09:00,18:30,火曜日、土曜日の午後と祝日終日利用不可。,,,
152188,3000200172,新潟県,五泉市,㈱ユアテック五泉営業所,（カブ）ユアテックゴセンエイギョウショ,五泉市中川新505-2,,37.72419,139.236119,１階エントランス,0250-47-1015,,,,月火水木金,08:30,17:15,,,,
152188,3000200173,新潟県,五泉市,㈱雪国まいたけ五泉バイオセンター,（カブ）ユキグニマイタケゴセンバイオセンター,五泉市中川新字郷屋原5912,,37.710352,139.225899,１階食堂,0250-47-1161,,,,月火水木金,,,業務時間内利用可。,,,
