都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
152188,3000700051,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
ペタンク大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　ペタンクタイカイ,,2021-10-21,2021-10-21,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,,,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉市総合会館（多目的練習場）,新潟県五泉市旭町7-11,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700052,新潟県,五泉市,"第32回五泉市スポーツレクリエーション大会
ボウリング大会",ダイサンジュウニカイゴセンシスポーツレクリエーションタイカイ　ボウリングタイカイ,,2021-10-17,2021-10-17,,,,　市民の誰もが気軽にスポーツやレクリエーション活動に親しみ、交流を深め、スポーツ精神を高揚し、健康維持と体力増進及び元気に心豊かで生きがいのある市民生活の実現を目指します。,"2,000",,五泉市スポーツ協会,(0250)58-6373,,五泉市・五泉市教育委員会,五泉ファミリーボウル,新潟県五泉市木越1930,,37.723260,139.176957,"磐越自動車道安田ICから車で17分
JR磐越西線五泉駅から車で5分",有り,,,,スポーツ協会へお問い合わせ下さい,,スポーツ推進課
152188,3000700053,新潟県,五泉市,高立山・菩提寺山山開き,タカダテヤマ・ボダイジヤマヤマビラキ,,2021-04-29,2021-04-29,,,時間制限なし 　　　　　　　セレモニーなし,高立山山頂で高立山・菩提寺山合同の山開きを行います。,,,,,,,高立山,五泉市橋田地内,,,,,,,,,,,商工観光課
152188,3000700054,新潟県,五泉市,七夕風鈴祭・天の川巡り,タナバタフウリン・アマノガワメグリ,,2021-06-30,2021-07-31,09:00,17:00,,五泉八幡風鈴をはじめ、全国各地の風鈴が奉納される。期間中はライトアップも実施。,,,,,,,五泉八幡宮,五泉市宮町5-46,,,,,,,,,,,商工観光課
152188,3000700055,新潟県,五泉市,天満宮例祭,テンマングウレイサイ,,2021-08-24,2021-08-25,09:00,17:00,,学問、芸術の神様。子供たちが書いた習字や灯篭が奉納されます。,,,,,,,天満宮（村松駅前通）,村松駅前通,,,,,,,,,,,商工観光課
152188,3000700056,新潟県,五泉市,東京日本橋五泉フェア,トウキョウニホンバシゴセンフェア,,,,,,新型コロナウイルス感染拡大防止の為中止,さといもや地酒など、五泉の特産品が展示販売されます。,,,,,,,日本橋プラザビル（東京都）,東京都中央区日本橋2丁目3-4,,,,,,,,,,,商工観光課
152188,3000700057,新潟県,五泉市,なかよしどくしょ会,ナカヨシドクショカイ,,,,10:30,11:00,,"読書ボランティアによる絵本の読み聞かせを行っています。
第２・４土曜日の10:30～11:00（幼児～小学生対象）",無料,,五泉市立村松図書館,0250-58-1505,,五泉市立村松図書館,五泉市立村松図書館２階　おはなしのへや,五泉市村松乙224-2,,,,,,,,,申込不要,,村松図書館
152188,3000700058,新潟県,五泉市,にいがた五泉の恵みフェア,ニイガタゴセンノメグミフェア,,2021-11-04,2021-11-07,09:00,17:00,,さといもや栗など五泉の特産品販売、五泉ニット製品の販売を行います。,,,,,,,表参道・新潟館ネスパス（東京都）,東京都渋谷区神宮前4丁目11-7,,,,,,,,,,,商工観光課
152188,3000700059,新潟県,五泉市,農業まつり,ノウギョウマツリ,,,,,,開催日等詳細は９月に開催予定の実行委員会にて決定。（村松地域でも開催予定）,地場産の新鮮な野菜や果物、花木の苗木など、特産品が大集合。,,,,,,,総合会館多目的練習場,五泉市旭町7番11号,,37.747146,139.179645,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩5分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",専用約280台,,,,,,農林課
152188,3000700060,新潟県,五泉市,白山山開き,ハクサンヤマビラキ,,2021-04-04,2021-04-04,07:30,08:30,時間制限なし 　　　　　　　セレモニーなし,霊峰白山の山開き。登山客の駐車場になっている黄金の里会館で開催します。,,,,,,,黄金の里会館前（蛭野）,五泉市蛭野878-13,,,,,,,,,,,商工観光課
152188,3000700061,新潟県,五泉市,八幡宮秋季祭礼,ハチマングウシュウキサイレイ,,2021-09-11,2021-09-12,09:00,17:00,,五穀豊穣を願う秋のお祭り。各町内会の山車が市内を練り歩きます。,,,,,,,八幡宮（宮町）,五泉市宮町5-46,,,,,,,,,,,商工観光課
152188,3000700062,新潟県,五泉市,八幡宮春季祭礼,ハチマングウシュンキサイレイ,,2021-04-14,2021-04-15,09:00,17:00,,豊作を祈願する春のお祭りです。,,,,,,,八幡宮（宮町）,五泉市宮町5-46,,,,,,,,,,,商工観光課
152188,3000700063,新潟県,五泉市,日枝神社秋季例大祭,ヒエジンジャシュウキレイタイサイ,,2021-09-17,2021-09-19,09:00,17:00,,"1,200年前、雨乞いの神として祀られた村松の総鎮守。お宮内では稚児舞や太夫舞が奉納されます。勇ましい神輿や出店もにぎやかです。",,,,,,,日枝神社（寺町）,五泉市村松甲5976,,,,,,,,,,,商工観光課
152188,3000700064,新潟県,五泉市,美術展覧会・いけばな展,ビジュツテンランカイ・イケバナテン,"Art Exhibition,Flower Arrangement Exhibition",,,,,新型コロナウイルス感染症対策のため、日時会場等変更する場合があります。,市民に美術作品の発表と鑑賞機会を提供し、創作活動の普及と振興を図る。,1000,"市展は1点1,000円、2点は1,500円
文化展は金額未定
いけばな展は1点1,000円
来場者の入場料は無料",五泉市教育委員会生涯学習課,0250-42-5195,506,"五泉市
五泉市教育委員会",五泉市交流拠点複合施設（ラポルテ五泉）【予定】,新潟県五泉市赤海863,,37.74413,139.19278,"磐越自動車道安田ICから車で6分
JR磐越西線五泉駅から車で6分",普通自動車186台,,,,出品希望者・参加希望団体は申込書に記入のうえ、出品料・参加費を添えて申し込み,,生涯学習課
152188,3000700065,新潟県,五泉市,文化展,ブンカテン,Culture Exhibition,,,,,新型コロナウイルス感染症対策のため、日時会場等変更する場合があります。,団体の活動成果品を展示。,未定,"1団体参加費（金額未定）
来場者の入場料は無料",五泉市教育委員会生涯学習課,0250-42-5195,506,"五泉市
五泉市教育委員会",五泉市さくらんど会館　イベントホール【予定】,新潟県五泉市村松乙118-2,,37.692416,139.173651,"磐越自動車道安田ICから車で20分
JR磐越西線五泉駅から車で15分
ふれあいバス村松支所下車　徒歩すぐ",専用約30台、近隣施設約250台,,,,,,生涯学習課
152188,3000700066,新潟県,五泉市,別所虚空蔵尊例祭と雪灯篭,ベッショコクウゾウソンサイレイトユキトウロウ,,2022-02-12,2022-02-13,09:00,17:00,,昔から商売の神様として敬われている別所虚空蔵尊のお祭り。例祭に併せ12日の夜には、別所地区や商店街に灯篭が並べられ幻想的な雰囲気になります。,,,,,,,虚空蔵尊（別所）　　　　　　　　　　　　　村松商店街～別所地区,五泉市別所字上1318,,,,,,,,,,,商工観光課
152188,3000700067,新潟県,五泉市,水芭蕉,ミズバショウ,,2022-03-20,2022-03-31,00:00,23:59,例年は3月下旬見頃,2.1ヘクタールの敷地に3万株の水芭蕉が咲きそろいます。,,,,,,,水芭蕉公園（郷屋地内）,五泉市菅出2687,,,,,,,,,,,商工観光課
152188,3000700068,新潟県,五泉市,村松公園桜まつり,ムラマツコウエンサクラマツリ,,2021-04-03,2021-04-18,09:00,17:00,新型コロナウイルス感染拡大防止の為、イベント中止,"約3,000本の桜で有名な村松公園の桜まつり。見頃期間中には夜桜ライトアップが行われます。",,,,,,,村松公園,五泉市愛宕甲2631-1,,,,,,,,,,,商工観光課
152188,3000700069,新潟県,五泉市,谷地地蔵尊祭礼,ヤチジゾウソンサイレイ,,2021-07-23,2021-07-23,09:00,17:00,,「お祭りをしなかったら大水になった」との言い伝えが残っている祭礼です。,,,,,,,吉沢,五泉市吉沢1丁目地内,,,,,,,,,,,商工観光課
152188,3000700070,新潟県,五泉市,雪割草まつり,ユリワリソウマツリ,,2022-03-01,2022-04-10,09:00,17:00,例年3月上旬～4月上旬開催,村松公園内愛宕山の遊歩道で可憐な姿を見ることができます。,,,,,,,村松公園,五泉市愛宕甲2631-1,,,,,,,,,,,商工観光課
152188,3000700071,新潟県,五泉市,よこすか産業まつり,ヨコスカサンギョウマツリ,,,,,,開催日等詳細は８月に開催予定の実行委員会にて決定。,横須賀市三笠公園内で、市内の事業者によるPR販売や、交流都市の特産品販売が行われます。五泉市の栗やさといも、もち、日本酒など特産品も販売します。,,,,,,,横須賀市三笠公園（神奈川県）,神奈川県横須賀市稲岡町82,,35.28535,139.67388,,,,,,,,農林課
152188,3000700072,新潟県,五泉市,横須賀市衣笠仲通り商店街五泉フェア,ヨコスカシキヌガサナカドオリショウテンガイゴセンフェア,,,,,,開催日等詳細は８月に開催予定の実行委員会にて決定。,忠犬タマ公で縁のある横須賀市衣笠商店街の収穫祭で、五泉産米や栗、さといもなど五泉の特産品も販売されます。,,,,,,,横須賀市衣笠商店街（神奈川県）,神奈川県横須賀市衣笠栄町　　　　　　　　1丁目70-133,,35.25744,139.66266,,,,,,,,農林課
152188,3000700073,新潟県,五泉市,横町地蔵尊祭礼,ヨコマチジゾウソンサイレイ,,2021-06-23,2021-06-23,09:00,17:00,,家内安全、町内安全を祈願して供養されている約300体の木造の地蔵尊のお祭りです。,,,,,,,横町,五泉市横町地内,,,,,,,,,,,商工観光課
